SystematicID	Gene_name	Synonyms	Names
SPCC550.14	vgl1		vgl1
SPCC1795.02c	vcx1	SPCC895.01	vcx1
SPBC460.03	vba2		vba2
SPAP27G11.06c	vas2	aps1	vas2
SPMIT.08	var1	urfa	var1
SPAC23H4.14	vam6	vps39	vam6
SPBC354.14c	vac8		vac8
SPBP8B7.13	vac7		vac7
SPBC25H2.03	vac14		vac14
SPBC16E9.06c	uvi31		uvi31
SPBC649.04	uvi15		uvi15
SPBC19C7.09c	uve1	uvde	uve1
SPAC644.08	utr4		utr4
SPAC1565.05	utp8		utp8
SPAC959.03c	utp7		utp7
SPBC244.02c	utp6		utp6
SPCC1450.03	utp502	utp5	utp502
SPNCRNA.795	utp5-antisense-1		utp5-antisense-1
SPAC20H4.01	utp5	SPAC631.03	utp5
SPNCRNA.1632	utp4-antisense-1		utp4-antisense-1
SPBC19F5.02c	utp4		utp4
SPBC3B8.09	utp3		utp3
SPCC1827.01c	utp25		utp25
SPBC32H8.04c	utp24	fcf1	utp24
SPNCRNA.1250	utp23-antisense-1		utp23-antisense-1
SPCC18.12c	utp23		utp23
SPBC776.08c	utp22		utp22
SPCC1672.07	utp21		utp21
SPBC56F2.04	utp20		utp20
SPBC29A3.06	utp18		utp18
SPBP8B7.10c	utp16		utp16
SPBC428.19c	utp15		utp15
SPAC57A7.06	utp14		utp14
SPCC16A11.02	utp13	SPCC63.16	utp13
SPAC18G6.06	utp11		utp11
SPBC23E6.04c	utp10		utp10
SPBC1289.12	usp109		usp109
SPAC23D3.08	usp108		usp108
SPBC839.10	usp107	snu71	usp107
SPBC4B4.09	usp105	prp39,csp5	usp105
SPAC4D7.13	usp104	prp40	usp104
SPBP35G2.09	usp103	yhc1	usp103
SPBC4B4.07c	usp102	mud1,U1A	usp102
SPAC19A8.13	usp101	snp1	usp101
SPAC29E6.03c	uso1	SPAC30.07c	uso1
SPAC17G6.07c	use1		use1
SPCC1223.09	uro1		uro1
SPCC548.04	urm1		urm1
SPCC162.11c	urk1		urk1
SPCC736.07c	uri1		uri1
SPAC17G8.02	urh2		urh2
SPBC1683.06c	urh1		urh1
SPAC1002.18	urg3		urg3
SPAC1002.17c	urg2		urg2
SPAC1002.19	urg1		urg1
SPCPB16A4.05c	ure7		ure7
SPAC29A4.13	ure6		ure6
SPAC3A12.09c	ure4		ure4
SPNCRNA.1041	ure2-antisense-1		ure2-antisense-1
SPAC1952.11c	ure2	ure1	ure2
SPAC2G11.02	urb2		urb2
SPCC14G10.02	urb1	SPCC18B5.13	urb1
SPCC1795.05c	ura6		ura6
SPBC725.15	ura5		ura5
SPCC330.05c	ura4		ura4
SPAC57A10.12c	ura3		ura3
SPAC16.03c	ura2		ura2
SPAC22G7.06c	ura1		ura1
SPBC36.10	ups2		ups2
SPAP8A3.10	ups1		ups1
SPAC13G7.03	upf3		upf3
SPAC19A8.08	upf2		upf2
SPAC16C9.06c	upf1		upf1
SPCC1183.06	ung1		ung1
SPCC14G10.03c	ump1		ump1
SPAC17A5.07c	ulp2		ulp2
SPNCRNA.1507	ulp1-antisense-1		ulp1-antisense-1
SPBC19G7.09	ulp1		ulp1
SPCC794.10	ugp1		ugp1
SPAC1B2.02c	ugo1		ugo1
SPBC365.14c	uge1		uge1
SPAC19D5.07	uga1		uga1
SPCC895.04c	ufe1		ufe1
SPAC20H4.10	ufd2		ufd2
SPNCRNA.1686	ufd1-antisense-1		ufd1-antisense-1
SPBC16A3.09c	ufd1		ufd1
SPAC1805.12c	uep1	ubi2	uep1
SPNCRNA.1447	uds1-antisense-1		uds1-antisense-1
SPBC27.04	uds1		uds1
SPBC83.01	ucp8		ucp8
SPNCRNA.761	ucp7-antisense-1		ucp7-antisense-1
SPAC17A5.12	ucp7		ucp7
SPAC3F10.13	ucp6		ucp6
SPNCRNA.1513	ucp3-antisense-1		ucp3-antisense-1
SPBC21D10.05c	ucp3	soc2	ucp3
SPCC895.09c	ucp12		ucp12
SPAC1399.04c	uck2		uck2
SPBC409.06	uch2		uch2
SPAC27F1.03c	uch1		uch1
SPBC21C3.11	ubx4		ubx4
SPNCRNA.752	ubx3-antisense-1		ubx3-antisense-1
SPAC343.09	ubx3	mug39	ubx3
SPAC2C4.15c	ubx2		ubx2
SPAC15A10.11	ubr11		ubr11
SPBC19C7.02	ubr1	SPBC32F12.14	ubr1
SPBC1703.12	ubp9		ubp9
SPAC13A11.04c	ubp8		ubp8
SPAC23G3.08c	ubp7		ubp7
SPAC6G9.08	ubp6		ubp6
SPCC188.08c	ubp5		ubp5
SPBC18H10.08c	ubp4		ubp4
SPBP8B7.21	ubp3		ubp3
SPAC328.06	ubp2		ubp2
SPNCRNA.1137	ubp16-antisense-1		ubp16-antisense-1
SPCC1682.12c	ubp16		ubp16
SPBC713.02c	ubp15	ubpD,ubp21	ubp15
SPNCRNA.1538	ubp14-antisense-1		ubp14-antisense-1
SPBC6B1.06c	ubp14		ubp14
SPNCRNA.1289	ubp12-antisense-1		ubp12-antisense-1
SPCC1494.05c	ubp12		ubp12
SPBC19C2.04c	ubp11		ubp11
SPBC577.07	ubp10		ubp10
SPCC16A11.12c	ubp1		ubp1
SPAC589.10c	ubi5		ubi5
SPBC337.08c	ubi4		ubi4
SPAC6G10.11c	ubi3		ubi3
SPAC11G7.04	ubi1		ubi1
SPBC211.07c	ubc8		ubc8
SPBP16F5.04	ubc7	ubcP3	ubc7
SPAC10F6.05c	ubc6		ubc6
SPNCRNA.1382	ubc4-antisense-1		ubc4-antisense-1
SPBC119.02	ubc4	ubcP1	ubc4
SPBC1198.09	ubc16		ubc16
SPBC1105.09	ubc15		ubc15
SPAC1250.03	ubc14		ubc14
SPAC11E3.04c	ubc13	spu13,sst5	ubc13
SPCC777.10c	ubc12		ubc12
